sample_id	cluster	subcluster_l2	fastbaps_level1_raw	fastbaps_level2_raw
SAMN07430685	A-C02	A-C02.1	9	43
SAMN45624589	A-C05	A-C05.2	22	123
SAMN45624670	A-C05	A-C05.2	22	123
SAMN45624551	A-C05	A-C05.2	22	123
SAMN45624668	A-C05	A-C05.2	22	123
SAMN45624588	A-C05	A-C05.2	22	123
SAMN45624586	A-C05	A-C05.2	22	123
SAMN45624587	A-C05	A-C05.2	22	123
SAMN45624669	A-C05	A-C05.2	22	123
SAMN45624593	A-C05	A-C05.2	22	123
SAMN45624553	A-C05	A-C05.2	22	123
SAMN45624557	A-C05	A-C05.2	22	123
SAMN45624583	A-C05	A-C05.2	22	123
SAMN45624665	A-C05	A-C05.2	22	123
SAMN45624555	A-C05	A-C05.2	22	123
SAMN08378581	A-C04	A-C04.3	19	107
SAMN08378580	A-C04	A-C04.4	19	108
SAMN13503727	A-C08	A-C08.1	18	101
SAMN39646423	A-C08	A-C08.1	18	101
SAMD01229234	A-C08	A-C08.1	18	101
SAMD01229179	A-C08	A-C08.1	18	101
SAMD01229203	A-C08	A-C08.1	18	101
SAMD01229174	A-C08	A-C08.1	18	101
SAMD01229200	A-C08	A-C08.1	18	101
SAMN54739139	A-C08	A-C08.1	18	101
SAMD01229258	A-C08	A-C08.1	18	101
SAMD01229201	A-C08	A-C08.1	18	101
SAMD01229263	A-C08	A-C08.1	18	101
SAMN14523983	A-C08	A-C08.1	18	101
SAMN14524002	A-C08	A-C08.1	18	101
SAMN14524001	A-C08	A-C08.1	18	101
SAMN14524003	A-C08	A-C08.1	18	101
SAMN14523998	A-C08	A-C08.1	18	101
SAMN14524000	A-C08	A-C08.1	18	101
SAMN14523999	A-C08	A-C08.1	18	101
SAMN07436295	A-C08	A-C08.1	18	101
SAMN19372447	A-C08	A-C08.1	18	101
HD_5_2	A-C08	A-C08.1	18	101
SAMN23101910	A-C08	A-C08.1	18	101
SAMN13503715	A-C08	A-C08.3	18	99
SAMN13503719	A-C08	A-C08.3	18	99
SAMN13503717	A-C08	A-C08.3	18	99
SAMN13503721	A-C08	A-C08.3	18	99
SAMN13503699	A-C08	A-C08.3	18	99
SAMN13503716	A-C08	A-C08.3	18	99
SAMN13503708	A-C08	A-C08.3	18	99
SAMN29673693	A-C08	A-C08.3	18	99
SAMD01229218	A-C08	A-C08.4	18	100
SAMD01229219	A-C08	A-C08.4	18	100
SAMN48144447	A-C04	A-C04.1	19	106
SAMN48144462	A-C04	A-C04.2	19	105
SAMN48144452	A-C04	A-C04.2	19	105
SAMN48144467	A-C04	A-C04.2	19	105
SAMN48144471	A-C04	A-C04.2	19	105
SAMN48144472	A-C04	A-C04.2	19	105
SAMN48144468	A-C04	A-C04.2	19	105
SAMN37824502	A-C18	A-C18.5	15	82
SAMN37824514	A-C18	A-C18.6	15	83
SAMN37824516	A-C04	A-C04.2	19	105
SAMN48144327	A-C04	A-C04.2	19	105
SAMN48144326	A-C04	A-C04.2	19	105
SAMN48144334	A-C04	A-C04.2	19	105
SAMN48144473	A-C04	A-C04.2	19	105
SAMN47071779	A-C04	A-C04.2	19	105
SAMN48144325	A-C04	A-C04.1	19	106
SAMN48144470	A-C04	A-C04.2	19	105
SAMN48144315	A-C04	A-C04.2	19	105
SAMN48144448	A-C04	A-C04.2	19	105
SAMN48144461	A-C04	A-C04.1	19	106
SAMN48144312	A-C04	A-C04.1	19	106
SAMN48144313	A-C04	A-C04.1	19	106
SAMN48144474	A-C04	A-C04.1	19	106
SAMN48144455	A-C04	A-C04.1	19	106
SAMN48144311	A-C04	A-C04.1	19	106
SAMN48144453	A-C04	A-C04.1	19	106
SAMN48144469	A-C04	A-C04.1	19	106
SAMN48144465	A-C04	A-C04.1	19	106
SAMN48144459	A-C04	A-C04.1	19	106
SAMN48144460	A-C04	A-C04.1	19	106
SAMN48144324	A-C04	A-C04.1	19	106
SAMN48144464	A-C04	A-C04.1	19	106
SAMN48144446	A-C04	A-C04.1	19	106
SAMN48144345	A-C04	A-C04.1	19	106
SAMN48144343	A-C04	A-C04.1	19	106
SAMN48144341	A-C04	A-C04.2	19	105
SAMN48144336	A-C04	A-C04.2	19	105
SAMN48144335	A-C04	A-C04.2	19	105
SAMN48144342	A-C04	A-C04.2	19	105
SAMN16125472	A-C04	A-C04.2	19	105
SAMN48144338	A-C04	A-C04.1	19	106
SAMN48144346	A-C04	A-C04.1	19	106
SAMN48144340	A-C04	A-C04.1	19	106
SAMN48144347	A-C04	A-C04.1	19	106
SAMN48144344	A-C04	A-C04.1	19	106
SAMN48144317	A-C04	A-C04.1	19	106
SAMN48144451	A-C04	A-C04.1	19	106
SAMN48144449	A-C04	A-C04.1	19	106
SAMN48144457	A-C04	A-C04.1	19	106
SAMN48144458	A-C04	A-C04.1	19	106
SAMN48144466	A-C04	A-C04.1	19	106
SAMN48144445	A-C04	A-C04.1	19	106
SAMN48144454	A-C04	A-C04.1	19	106
SAMN48144314	A-C04	A-C04.1	19	106
SAMN48144456	A-C04	A-C04.1	19	106
SAMN13503709	A-C04	A-C04.1	19	106
SAMN13503707	A-C04	A-C04.1	19	106
SAMN48144450	A-C04	A-C04.1	19	106
SAMN48144463	A-C04	A-C04.1	19	106
SAMN29232630	A-C04	A-C04.1	19	106
RS1187	A-C04	A-C04.1	19	106
RS1191	A-C04	A-C04.1	19	106
RS1186	A-C04	A-C04.1	19	106
SAMN13503711	A-C04	A-C04.1	19	106
SAMN13503698	A-C04	A-C04.1	19	106
SAMN26550128	A-C04	A-C04.1	19	106
SAMN15331500	A-C04	A-C04.1	19	106
SAMN14523992	A-C04	A-C04.1	19	106
SAMN14523993	A-C04	A-C04.1	19	106
SAMN48144337	A-C04	A-C04.1	19	106
SAMN48144339	A-C04	A-C04.1	19	106
SAMN14490837	A-C04	A-C04.1	19	106
RS1322	A-C08	A-C08.2	18	102
ToGy_1	A-C08	A-C08.2	18	102
SAMN14523985	A-C08	A-C08.2	18	102
SAMN14524006	A-C08	A-C08.2	18	102
SAMN14524004	A-C08	A-C08.2	18	102
SAMN14524005	A-C08	A-C08.2	18	102
SAMN14523984	A-C08	A-C08.2	18	102
leZJXW_11_2	A-C08	A-C08.2	18	102
RS1139	A-C08	A-C08.6	18	104
RS897	A-C08	A-C08.5	18	103
RS36	A-C05	A-C05.1	22	122
RS33	A-C05	A-C05.1	22	122
RS582	A-C05	A-C05.1	22	122
SAMN32082345	A-C05	A-C05.1	22	122
SAMN14262754	A-C05	A-C05.1	22	122
SAMN14262755	A-C05	A-C05.1	22	122
SAMN14262744	A-C05	A-C05.1	22	122
SAMN05437153	A-C05	A-C05.1	22	122
SAMN14490839	A-C05	A-C05.1	22	122
SAMN48881384	A-C05	A-C05.1	22	122
RS565	A-C05	A-C05.1	22	122
SAMN41665399	A-C05	A-C05.1	22	122
RS576	A-C05	A-C05.1	22	122
SAMN44414988	A-C05	A-C05.1	22	122
SAMN14490831	A-C05	A-C05.3	22	125
ZJ_3_3	A-C05	A-C05.3	22	125
SAMN22612344	A-C05	A-C05.3	22	125
SAMN22612355	A-C05	A-C05.3	22	125
SAMN22612335	A-C05	A-C05.3	22	125
SAMN09425312	A-C05	A-C05.3	22	125
SAMN35628658	A-C05	A-C05.3	22	125
SAMN35628657	A-C05	A-C05.3	22	125
SAMN08196801	A-C05	A-C05.3	22	125
SAMN09425310	A-C05	A-C05.4	22	124
SAMN35301405	A-C05	A-C05.4	22	124
SAMN10351675	A-C05	A-C05.4	22	124
SAMN04158631	A-C05	A-C05.4	22	124
SAMN14490836	A-C05	A-C05.4	22	124
RS162	A-C05	A-C05.4	22	124
RS02	A-C05	A-C05.4	22	124
RS180	A-C05	A-C05.4	22	124
TS_1	A-C05	A-C05.4	22	124
SAMN05879718	A-C05	A-C05.3	22	125
SAMN08180272	A-C05	A-C05.3	22	125
SAMN46988001	A-C05	A-C05.3	22	125
RS976	A-C05	A-C05.3	22	125
SAMN48144353	A-C18	A-C18.1	15	78
SAMN48144365	A-C18	A-C18.1	15	78
SAMN48144357	A-C18	A-C18.1	15	78
SAMN48144355	A-C18	A-C18.1	15	78
SAMN48144370	A-C18	A-C18.1	15	78
SAMN48144359	A-C18	A-C18.1	15	78
SAMN48144352	A-C18	A-C18.1	15	78
SAMN48144356	A-C06	A-C06.3	14	74
SAMN48144362	A-C06	A-C06.3	14	74
SAMN48144358	A-C06	A-C06.3	14	74
SAMN48144354	A-C06	A-C06.3	14	74
SAMN48144366	A-C06	A-C06.3	14	74
SAMN48144364	A-C06	A-C06.2	14	72
SAMN48144368	A-C06	A-C06.2	14	72
SAMN48144369	A-C06	A-C06.2	14	72
SAMN48144363	A-C06	A-C06.2	14	72
SAMN48144367	A-C06	A-C06.2	14	72
SAMD01229228	A-C06	A-C06.1	14	76
SAMD01229216	A-C06	A-C06.1	14	76
SAMD01229210	A-C06	A-C06.1	14	76
SAMD00657122	A-C06	A-C06.1	14	76
SAMD01229262	A-C06	A-C06.1	14	76
SAMD01229220	A-C06	A-C06.1	14	76
SAMD01229221	A-C06	A-C06.1	14	76
SAMD01229184	A-C06	A-C06.1	14	76
SAMD01229241	A-C06	A-C06.1	14	76
