sample_id	cluster	subcluster_l2	fastbaps_level1_raw	fastbaps_level2_raw
SAMN16125521	C-C02	C-C02.1	1	1
SAMN07430698	C-C05	C-C05.1	5	15
SAMN07430702	C-C05	C-C05.1	5	15
SAMN04538211	C-C05	C-C05.1	5	15
SAMN07430682	C-C05	C-C05.1	5	15
SAMN07430694	C-C05	C-C05.1	5	15
SAMN22612358	C-C04	C-C04.4	3	8
SAMN07430704	C-C04	C-C04.5	3	9
SAMN07430701	C-C04	C-C04.1	3	7
SAMN07430695	C-C04	C-C04.2	3	10
SAMD00657127	C-C04	C-C04.1	3	7
SAMN07430683	C-C04	C-C04.1	3	7
SAMN22612357	C-C04	C-C04.3	3	11
SAMN07430686	C-C05	C-C05.3	5	17
SAMN13518540	C-C05	C-C05.2	5	16
SAMEA10977830	C-C03	C-C03.2	2	4
SAMN16125520	C-C03	C-C03.2	2	4
SAMN43407545	C-C03	C-C03.1	2	5
SAMN62347673	C-C03	C-C03.3	2	6
SAMN32543035	C-C03	C-C03.1	2	5
SAMN44820519	C-C03	C-C03.1	2	5
SAMN16125518	C-C03	C-C03.1	2	5
SAMN22612370	C-C01	C-C01.3	4	14
SAMN22612371	C-C01	C-C01.1	4	12
SAMN22612272	C-C01	C-C01.1	4	12
SAMN22612310	C-C01	C-C01.1	4	12
SAMEA2272112	C-C01	C-C01.1	4	12
SAMN22612330	C-C01	C-C01.1	4	12
SAMN07430688	C-C01	C-C01.2	4	13
SAMN07430703	C-C01	C-C01.2	4	13
SAMN42180106	C-C02	C-C02.3	1	3
SAMN44820517	C-C02	C-C02.1	1	1
SAMN42180103	C-C02	C-C02.1	1	1
SAMN17266611	C-C02	C-C02.2	1	2
SAMN32543036	C-C02	C-C02.1	1	1
SAMN42180105	C-C02	C-C02.1	1	1
