sample_id	cluster	subcluster_l2	fastbaps_level1_raw	fastbaps_level2_raw
SAMN22612275	B-C01	B-C01.1	10	38
SAMN22612387	B-C08	B-C08.1	1	1
SAMN16125508	B-C08	B-C08.1	1	1
SAMN22612293	B-C08	B-C08.1	1	1
SAMN22612386	B-C08	B-C08.1	1	1
SAMN22612294	B-C08	B-C08.1	1	1
SAMN22612385	B-C08	B-C08.1	1	1
SAMN22612314	B-C08	B-C08.1	1	1
SAMN22612289	B-C08	B-C08.1	1	1
SAMN54805817	B-C08	B-C08.1	1	1
SAMN22612363	B-C08	B-C08.1	1	1
SAMN54805816	B-C08	B-C08.1	1	1
SAMN22612375	B-C08	B-C08.2	1	2
SAMN54805814	B-C08	B-C08.2	1	2
SAMN54805815	B-C08	B-C08.2	1	2
SAMN22612345	B-C08	B-C08.3	1	3
SAMN39822550	B-C08	B-C08.3	1	3
SAMN02716068	B-C08	B-C08.3	1	3
SAMN07189980	B-C08	B-C08.5	1	5
SAMN08380407	B-C08	B-C08.4	1	4
SAMN08378625	B-C08	B-C08.4	1	4
SAMN22612269	B-C03	B-C03.1	2	13
SAMN22612288	B-C03	B-C03.1	2	13
SAMN22612354	B-C03	B-C03.1	2	13
SAMN45624647	B-C07	B-C07.1	8	28
SAMN45624637	B-C07	B-C07.1	8	28
SAMN45624636	B-C07	B-C07.1	8	28
SAMN45624646	B-C07	B-C07.1	8	28
SAMN45624624	B-C07	B-C07.1	8	28
SAMN45624631	B-C07	B-C07.1	8	28
SAMN45624644	B-C07	B-C07.1	8	28
SAMN45624642	B-C07	B-C07.1	8	28
SAMN45624638	B-C07	B-C07.1	8	28
SAMN45624643	B-C07	B-C07.1	8	28
SAMN45624639	B-C07	B-C07.1	8	28
SAMN45624640	B-C07	B-C07.1	8	28
SAMN45624634	B-C07	B-C07.1	8	28
SAMN45624641	B-C07	B-C07.1	8	28
SAMN45624645	B-C07	B-C07.1	8	28
SAMN45624635	B-C07	B-C07.1	8	28
SAMN45624614	B-C07	B-C07.3	8	29
SAMN45624571	B-C07	B-C07.2	8	27
SAMN45624626	B-C07	B-C07.2	8	27
SAMN45624630	B-C07	B-C07.2	8	27
SAMN45624203	B-C07	B-C07.4	8	30
SAMN45624629	B-C03	B-C03.5	2	10
SAMN45624633	B-C03	B-C03.5	2	10
SAMN45624632	B-C03	B-C03.5	2	10
SAMN45624627	B-C03	B-C03.5	2	10
SAMN22612278	B-C03	B-C03.1	2	13
SAMN22612277	B-C03	B-C03.1	2	13
SAMN45624204	B-C03	B-C03.6	2	11
SAMN45624202	B-C03	B-C03.6	2	11
SAMN32543032	B-C03	B-C03.6	2	11
